1,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=1,2916258 Canada Incorporated,7084298,2012-06-21,0473 - Experts-conseils en technologie de l’information,2012-06-21 au 2012-08-31,"21 357,00 $",Le présent marché a été adjugé dans le cadre d'un concours.
2,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=2,2KEYS CORPORATION,7083476,2012-04-01,0473 - Experts-conseils en technologie de l’information,2012-04-01 au 2014-06-12,"423 750,01 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
3,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=3,Accenture Inc.,7081107,2011-07-05,0473 - Experts-conseils en technologie de l’information,2011-07-05 au 2014-07-04,"139 668,00 $",Le présent marché a été adjugé dans le cadre d'un concours.  Le présent marché comprend une modification ou plus.
4,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=4,Accenture Inc.,7081107,2012-06-20,0473 - Experts-conseils en technologie de l’information,2012-05-07 au 2012-09-30,"359 645,09 $ Modifiée ",Le présent marché comprend une modification ou plus.
5,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=5,ADRM Technology Consulting Group Company,7070297,2009-02-16,0472 - Conseillers en technologie d'information,2009-02-16 au 2012-07-31,"102 207,00 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
6,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=6,ADRM Technology Consulting Group Company,7070297,2012-06-29,0472 - Conseillers en technologie d'information,2009-02-16 au 2012-07-31,"606 536,70 $ Modifiée ",Le présent marché comprend une modification ou plus.
7,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=7,ADRM Technology Consulting Group Co.,7077786,2010-09-07,0473 - Experts-conseils en technologie de l’information,2010-09-07 au 2013-03-29,"280 946,25 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
8,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=8,ADRM Technology Consulting Group Co.,7077786,2012-05-30,0473 - Experts-conseils en technologie de l’information,2010-07-09 au 2012-07-31,"341 982,40 $ Modifiée ",Le présent marché comprend une modification ou plus.
9,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=9,ADRM Technology Consulting Group Co.,8262100480,2010-11-02,0473 - Experts-conseils en technologie de l’information,2010-11-08 au 2013-03-31,"550 402,97 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
10,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=10,ADRM Technology Consulting Group Co.,8262100480,2012-06-25,0473 - Experts-conseils en technologie de l’information,2010-11-08 au 2012-11-02,"648 682,84 $ Modifiée ",Le présent marché comprend une modification ou plus.
11,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=11,ADT Advanced Integration,7084238,2012-06-08,0859 - Autres services commerciaux qui ne sont pas précisés ailleurs,2012-06-08 au 2012-08-03,"23 023,15 $",Le présent marché a été adjugé à un fournisseur unique.
12,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=12,Altis Human Resources,7084210,2012-06-11,0813 - Services d'aide temporaire,2012-06-11 au 2013-08-23,"132 297,12 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
13,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=13,AMITA CORPORATION,7080252,2011-04-01,0472 - Conseillers en technologie d'information,2011-04-01 au 2012-09-30,"256 284,00 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
14,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=14,AMITA CORPORATION,7080252,2012-06-20,0472 - Conseillers en technologie d'information,2011-04-01 au 2012-09-30,"382 392,00 $ Modifiée ",Le présent marché comprend une modification ou plus.
15,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=15,Artemp Personnel Services Inc.,7084116,2012-05-23,0491 - Services de conseillers en gestion,2012-05-23 au 2014-05-22,"27 515,50 $",Le présent marché a été adjugé dans le cadre d'un concours. Le présent marché comprend une modification ou plus.
16,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=16,BELL Pastry and Delicatessen,7084261,2012-06-13,0822 - Hospitalité,2012-06-13 au 2012-06-13,"12 949,80 $",Le présent marché a été adjugé dans le cadre d'un concours.
17,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=17,BELLE-PAK Packaging Incorporated,7084341,2012-06-28,"1143 - Matière imprimée, incluant livres, journaux, images, textes, manuscrits et formules",2012-07-12,"24 952,66 $",Le présent marché a été adjugé dans le cadre d'un concours.
18,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=18,Berlitz Language Centre,7083898,2012-04-10,"0447 - Frais d'enseignement et frais de participation à des cours comprenant les séminaires, non spécifiés ailleurs",2012-04-10 au 2013-03-31,"57 330,00 $",Le présent marché a été adjugé dans le cadre d'un concours.
19,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=19,"Canadian Bank Note Co.,Ltd.",8335070401,2009-05-06,0460 - Services de protection,2009-05-06 au 2014-07-31,"7 908 698,00 $",Le présent marché a été adjugé dans le cadre d'un concours.  Le présent marché comprend une modification ou plus.
20,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=20,"Canadian Bank Note Co.,Ltd.",8335070401,2012-05-01,0460 - Services de protection,2009-05-06 au 2012-07-31,"8 586 698,00 $ Modifiée ",Le présent marché comprend une modification ou plus.
21,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=21,Canadian Corps of Commissionaires,7083529,2012-04-01,0460 - Services de protection,2012-04-01 au 2013-03-31,"183 859,70 $",Le présent marché a été adjugé dans le cadre d'un concours.
22,http://www.cic.gc.ca/disclosure-divulgation/index-fra.aspx?dept=1&lang=fra&p=4&c=22,Canadian Corps of Commissionaires,7083557,2012-04-01,0460 - Services de protection,2012-04-01 au 2013-03-31,"49 501,62 $",Le présent marché a été adjugé dans le cadre d'un concours.
